MP CODE,DATE FABRICATION,BESOIN (KG),Matiere_OF,NB PESEE,DATE_48h_avant
C3900504,2024-04-19,86.7,['C39005040000456505'],1,2024-04-17
C21005,2024-04-19,33.966,['C210050000456188'],1,2024-04-17
C28000,2024-04-19,20.2,['C280000000456406'],1,2024-04-17
C27850,2024-04-19,0.2142,['C278500000456188'],1,2024-04-17
C21020,2024-04-19,141.4,['C210200000456358'],1,2024-04-17
C27350,2024-04-19,222.59999999999997,"['C273500000456406', 'C273500000456358', 'C273500000456188']",3,2024-04-17
C3902569,2024-04-19,153.0,['C39025690000456505'],1,2024-04-17
C27300,2024-04-19,1.01,['C273000000456406'],1,2024-04-17
C3900702,2024-04-19,20.4,['C39007020000456505'],1,2024-04-17
C28500,2024-04-19,2.856,['C285000000456505'],1,2024-04-17
C3902403,2024-04-19,40.8,['C39024030000456505'],1,2024-04-17
C21460,2024-04-19,8.16,['C214600000456188'],1,2024-04-17
C27050,2024-04-19,2.04,['C270500000456188'],1,2024-04-17
C27068,2024-04-19,14.28,['C270680000456505'],1,2024-04-17
C28350,2024-04-19,25.25,['C283500000456406'],1,2024-04-17
C21535,2024-04-19,2.02,['C215350000456406'],1,2024-04-17
C20543,2024-04-19,4.04,['C205430000456358'],1,2024-04-17
C3900713,2024-04-19,61.2,['C39007130000456505'],1,2024-04-17
C3900221,2024-04-19,51.0,['C39002210000456505'],1,2024-04-17
C21580,2024-04-19,30.3,['C215800000456406'],1,2024-04-17
C3900493,2024-04-19,20.4,['C39004930000456505'],1,2024-04-17
C27020,2024-04-19,10.1,['C270200000456406'],1,2024-04-17
C20500,2024-04-19,20.4,['C205000000456188'],1,2024-04-17
C27046,2024-04-19,8.08,['C270460000456358'],1,2024-04-17
C21700,2024-04-19,35.35,['C217000000456406'],1,2024-04-17
C20300,2024-04-19,161.6,['C203000000456358'],1,2024-04-17
C25630,2024-04-19,20.2,['C256300000456406'],1,2024-04-17
C21990,2024-04-19,0.505,['C219900000456406'],1,2024-04-17
C22780,2024-04-22,262.6,"['C227800000456245', 'C227800000456246']",2,2024-04-18
C23155,2024-04-22,4.08,['C231550000456493'],1,2024-04-18
C23305,2024-04-22,204.0,['C233050000456503'],1,2024-04-18
C24250,2024-04-22,80.8,"['C242500000456405', 'C242500000456404']",2,2024-04-18
C3902569,2024-04-22,153.0,['C39025690000456503'],1,2024-04-18
C28500,2024-04-22,2.856,['C285000000456503'],1,2024-04-18
C25630,2024-04-22,40.4,"['C256300000456405', 'C256300000456404']",2,2024-04-18
C26490,2024-04-22,70.7,"['C264900000456245', 'C264900000456246']",2,2024-04-18
C28485,2024-04-22,102.0,['C284850000456503'],1,2024-04-18
C27020,2024-04-22,30.3,"['C270200000456405', 'C270200000456245', 'C270200000456404', 'C270200000456246']",4,2024-04-18
C3900713,2024-04-22,61.2,['C39007130000456503'],1,2024-04-18
C27045,2024-04-22,8.16,['C270450000456493'],1,2024-04-18
C25000,2024-04-22,8.08,"['C250000000456405', 'C250000000456245', 'C250000000456404', 'C250000000456246']",4,2024-04-18
C24950,2024-04-22,70.7,"['C249500000456245', 'C249500000456246']",2,2024-04-18
C24267,2024-04-22,22.44,"['C242670000456405', 'C242670000456404']",2,2024-04-18
C3901128,2024-04-22,2.04,['C39011280000456503'],1,2024-04-18
C3900487,2024-04-22,2.04,['C39004870000456503'],1,2024-04-18
C23552,2024-04-22,163.2,['C235520000456493'],1,2024-04-18
C3900799,2024-04-22,169.32,['C39007990000456503'],1,2024-04-18
C23550,2024-04-22,141.4,"['C235500000456405', 'C235500000456245', 'C235500000456404', 'C235500000456246']",4,2024-04-18
C25300,2024-04-22,61.812,"['C253000000456405', 'C253000000456245', 'C253000000456404', 'C253000000456246']",4,2024-04-18
C28200,2024-04-22,121.2,"['C282000000456245', 'C282000000456246']",2,2024-04-18
C3900504,2024-04-22,86.7,['C39005040000456503'],1,2024-04-18
C27068,2024-04-22,14.28,['C270680000456503'],1,2024-04-18
C3900493,2024-04-22,20.4,['C39004930000456503'],1,2024-04-18
C3900702,2024-04-22,20.4,['C39007020000456503'],1,2024-04-18
C3900221,2024-04-22,51.0,['C39002210000456503'],1,2024-04-18
C28000,2024-04-22,40.4,"['C280000000456405', 'C280000000456404']",2,2024-04-18
C28350,2024-04-22,50.5,"['C283500000456405', 'C283500000456404']",2,2024-04-18
C27300,2024-04-22,4.04,"['C273000000456405', 'C273000000456245', 'C273000000456404', 'C273000000456246']",4,2024-04-18
C23330,2024-04-22,102.0,['C233300000456503'],1,2024-04-18
C23350,2024-04-22,20.4,['C233500000456503'],1,2024-04-18
C27350,2024-04-22,40.4,"['C273500000456405', 'C273500000456404']",2,2024-04-18
C27355,2024-04-22,163.2,['C273550000456493'],1,2024-04-18
C3901071,2024-04-24,306.0,"['C39010710000456490', 'C39010710000456488']",2,2024-04-22
C3900715,2024-04-24,20.4,"['C39007150000456490', 'C39007150000456488']",2,2024-04-22
C29998,2024-04-24,6.0,"['C299980000456490', 'C299980000456488']",2,2024-04-22
C3901231,2024-04-24,20.4,"['C39012310000456490', 'C39012310000456488']",2,2024-04-22
C28505,2024-04-24,53.856,"['C285050000456490', 'C285050000456488']",2,2024-04-22
C3901799,2024-04-25,153.0,['C39017990000456489'],1,2024-04-23
C23335,2024-04-25,102.0,['C233350000456489'],1,2024-04-23
C21526,2024-04-25,67.32,['C215260000456252'],1,2024-04-23
C21525,2024-04-25,10.2,['C215250000456489'],1,2024-04-23
C3900702,2024-04-25,20.4,['C39007020000456489'],1,2024-04-23
C3902403,2024-04-25,122.4,['C39024030000456489'],1,2024-04-23
C21180,2024-04-25,51.0,['C211800000456489'],1,2024-04-23
C23350,2024-04-25,102.0,['C233500000456489'],1,2024-04-23
