MP CODE,DATE FABRICATION,BESOIN (KG),Matiere_OF,NB PESEE,DATE_48h_avant
C27300,2024-03-05,4.49092,"['C273000000455120', 'C273000000455116', 'C273000000455117', 'C273000000455119']",4,2024-03-01 00:00:00
C21423,2024-03-05,8.16,['C214230000455182'],1,2024-03-01 00:00:00
C21460,2024-03-05,28.56,['C214600000455000'],1,2024-03-01 00:00:00
C20500,2024-03-05,71.4,['C205000000455000'],1,2024-03-01 00:00:00
C23050,2024-03-05,1.785,['C230500000455000'],1,2024-03-01 00:00:00
