date,temps jour,temps semaine,week_number,matieres
2024-03-18,29.25,145.75,12,"['C3900713', 'C24250', 'C24400', 'C27068', 'C3900487', 'C28100', 'C3900221', 'C28485', 'C27050', 'C23305', 'C23300', 'C27350', 'C3900799', 'C3900702', 'C23550', 'C25020', 'C28530', 'C28520', 'C25000', 'C3901799', 'C27300', 'C23330', 'C3900504', 'C28500', 'C25300', 'C27020', 'C3901128', 'C23350', 'C3902019', 'C3900493', 'C3902569', 'C3902403', 'C21525', 'C20300', 'C21526', 'C20700', 'C22980', 'C24950']"
2024-03-19,29.0,145.75,12,"['C28100', 'C21005', 'C23305', 'C25000', 'C3901221', 'C20300', 'C3900376', 'C20700', 'C3902150', 'C22785', 'C27020', 'C29998', 'C3901231', 'C28505', 'C28520', 'C23335', 'C23550', 'C23350', 'C21460', 'C28530', 'C20500', 'C23050', 'C3900715', 'C3900219', 'C21525', 'C3901799', 'C3900702', 'C21180', 'C3902403', 'C27850', 'C27350', 'C23150', 'C25300', 'C23300', 'C21700', 'C27050', 'C3901071', 'C24400', 'C3902267', 'C21990', 'C27301', 'C3900799', 'C3901128', 'C28500', 'C28300', 'C21535', 'C25630', 'C3902569', 'C3901891', 'C20543']"
2024-03-20,29.25,145.75,12,"['C25305', 'C22905', 'C27020', 'C27950', 'C3900702', 'C3900504', 'C27355', 'C27850', 'C27350', 'C21016', 'C27200', 'C28520', 'C3902520', 'C23550', 'C23551', 'C22980', 'C25300', 'C3902403', 'C21460', 'C20500', 'C28530', 'C27270', 'C27120', 'C21700', 'C22903', 'C28500', 'C21900', 'C28100', 'C21580', 'C21055', 'C25000', 'C3900799', 'C25005', 'C3902569', 'C28000', 'C3901221', 'C25021', 'C25020', 'C28485', 'C3900713', 'C3900493', 'C23300']"
2024-03-21,29.0,145.75,12,"['C25300', 'C3900713', 'C3900221', 'C3902569', 'C27350', 'C3900702', 'C28350', 'C24267', 'C24250', 'C20300', 'C3902019', 'C27300', 'C20543', 'C28485', 'C3900493', 'C23325', 'C3902403', 'C23150', 'C21580', 'C21700', 'C25020', 'C21900', 'C21990', 'C28000', 'C21055', 'C3901128', 'C21165', 'C24400', 'C3900799', 'C3900487', 'C23305', 'C28100', 'C3902520', 'C21016', 'C25585', 'C27068', 'C25630', 'C25000', 'C21535', 'C27020', 'C3900504', 'C3901799', 'C27046', 'C29012', 'C22980', 'C23400', 'C23550', 'C23330', 'C23680']"
2024-03-22,29.25,145.75,12,"['C21005', 'C23550', 'C23300', 'C21990', 'C3901128', 'C21055', 'C3901799', 'C21526', 'C3900713', 'C23305', 'C27020', 'C24950', 'C28100', 'C21580', 'C21991', 'C3902520', 'C25000', 'C21900', 'C25630', 'C24400', 'C3902403', 'C25410', 'C3900799', 'C3900702', 'C27350', 'C3900493', 'C25300', 'C3902019', 'C27076', 'C27050', 'C21700', 'C20500', 'C25231', 'C27850', 'C3900487', 'C21460', 'C23350', 'C28000', 'C25020', 'C23150', 'C3900504']"
2024-03-25,29.5,145.75,13,"['C23050', 'C3902019', 'C26490', 'C27300', 'C22091', 'C20300', 'C21420', 'C23550', 'C23150', 'C23350', 'C3900221', 'C3902520', 'C3900799', 'C25410', 'C3900702', 'C27350', 'C27076', 'C22780', 'C25300', 'C27068', 'C28485', 'C27050', 'C21017', 'C21460', 'C20500', 'C25231', 'C23330', 'C27850', 'C3900493', 'C3900487', 'C22265', 'C3900504', 'C25000', 'C28200', 'C3901799', 'C21991', 'C21005', 'C3902569', 'C28500', 'C20543']"
2024-03-26,29.0,145.75,13,"['C23680', 'C23325', 'C23150', 'C24267', 'C29010', 'C3901128', 'C21580', 'C21700', 'C23305', 'C25300', 'C28485', 'C25585', 'C3902403', 'C27350', 'C21535', 'C3900702', 'C3900799', 'C27068', 'C28500', 'C3900221', 'C23400', 'C3902520', 'C21990', 'C24250', 'C23550', 'C27300', 'C25630', 'C28000', 'C21165', 'C3900493', 'C3900504', 'C3902019', 'C3900713', 'C25000', 'C23330', 'C28350', 'C3902569', 'C22980', 'C3900487', 'C27020', 'C23350', 'C3901799', 'C27850']"
2024-03-27,29.0,145.75,13,"['C20536', 'C27355', 'C21022', 'C23052', 'C23155', 'C27045', 'C20300', 'C23552', 'C27050', 'C21465', 'C3902403', 'C21460', 'C27300', 'C23550', 'C3900504', 'C28485', 'C24250', 'C24267', 'C21991', 'C20720', 'C22980', 'C20500', 'C28750', 'C23150', 'C3902019', 'C3900221', 'C29106', 'C23050', 'C28710', 'C3900713', 'C21850', 'C27850', 'C21990', 'C3900799', 'C28000', 'C3900702', 'C25021', 'C25630', 'C21362']"
2024-03-28,29.0,145.75,13,"['C25630', 'C27068', 'C27301', 'C25410', 'C27350', 'C3902520', 'C27020', 'C21580', 'C26710', 'C21535', 'C27076', 'C26400', 'C22265', 'C3902569', 'C28500', 'C23650', 'C24200', 'C28350', 'C22091', 'C3901128', 'C20745', 'C25000', 'C3900487', 'C23155', 'C23300', 'C3900493', 'C23305', 'C23330', 'C29105', 'C3901799', 'C23350', 'C28840', 'C21005', 'C25231', 'C25305', 'C25005', 'C27355', 'C21660', 'C26300', 'C21990', 'C22903']"
2024-03-29,29.25,145.75,13,"['C21460', 'C25450', 'C27076', 'C28840', 'C21526', 'C28750', 'C21700', 'C20500', 'C22980', 'C25231', 'C27301', 'C23350', 'C25300', 'C23330', 'C3902520', 'C3900487', 'C23155', 'C21465', 'C23200', 'C23300', 'C3900799', 'C25410', 'C3901799', 'C3902019', 'C3900221', 'C27350', 'C23305', 'C3900713', 'C27068', 'C23050', 'C27355', 'C3900493', 'C27020', 'C21005', 'C3902569', 'C24267', 'C3902403', 'C20543', 'C26400', 'C23150', 'C3901128', 'C22091', 'C23550', 'C27300', 'C22000', 'C21991', 'C27050', 'C28350', 'C23650', 'C24250']"
